Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,124.29,0,0,110.18,132.7539,3.762318,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.4730551,0,45.23418,124.29,0,0,110.1786,132.7539,3.762548,0,0,0,7.33500003814697,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.010,0,0.4730551,0,89.72719,124.2892,0.005726203,0,110.1772,132.7539,3.762778,0,0,0,7.33500003814697,0,0,89.9999,89.9999,0,0
0.03,S,0.03,0.010,0,0.4730551,0,134.2202,124.2867,0.005726203,0,110.1759,132.7539,3.763008,2.56999763755979,2.56999763684439,0.0000606397116203568,7.3350456674734,0.02569997,0.0000006063971,89.9999,89.9999,0.0001284998,0.000000003031986
0.04,S,0.04,0.010,0,0.4730551,0,178.7132,124.2825,0.005726275,0,110.1745,132.7539,3.763239,14.0894186220982,14.0894186218668,0.0000807448967006361,7.33689306824721,0.1665941,0.000001413846,89.9999,89.9999,0.00108997,0.0000000131332
0.05,S,0.05,0.010,0,0.4730551,0,223.2062,124.2767,0.005729159,0,110.1731,132.7539,3.763469,25.6103650544686,25.61036505427,0.000100852737839719,7.34717186687632,0.4226977,0.000002422373,89.9999,89.9999,0.004036429,0.0000000323143
0.05999999,S,0.05999999,0.010,0,0.4730551,0,267.6992,124.2693,0.005745223,0,110.1717,132.7539,3.763699,37.133312209415,37.133312209218,0.000120964074984549,7.37785631146509,0.7940308,0.000003632014,89.9999,89.9999,0.01012007,0.00000006258623
0.06999999,S,0.06999999,0.010,0,0.4730551,0,312.1922,124.2602,0.005793309,0,110.1703,132.7539,3.76393,48.658716752415,48.6587167522105,0.000141079701682252,7.44595742665814,1.280618,0.000005042811,89.9999,89.9999,0.02049332,0.0000001059604
0.07999999,S,0.07999999,0.010,0,0.4730551,0,356.6853,124.2494,0.005900753,0,110.1689,132.7539,3.76416,60.1870334677059,60.18703346749,0.000161200408214406,7.57271973969335,1.882488,0.000006654815,89.9999,89.9999,0.03630885,0.0000001644485
0.08999999,S,0.08999999,0.010,0,0.473055,0,401.1783,124.237,0.006103372,0,110.1676,132.7539,3.76439,71.7187173784922,71.718717378263,0.000181326992212688,7.78207298167535,2.599675,0.000008468085,89.9999,89.9999,0.05871966,0.000000240063
0.09999999,S,0.09999999,0.010,0,0.473055,0,445.6714,124.2229,0.006445495,0,110.1662,132.7539,3.76462,83.2542265670309,83.2542265667872,0.000201460253200345,8.09830185136885,3.432217,0.00001048269,89.9999,89.9999,0.08887912,0.0000003348168
0.11,S,0.11,0.010,0,0.473055,0,490.1645,124.2071,0.006979964,0,110.1648,132.7539,3.764851,94.7939887908036,94.7939887905446,0.000221600937736455,8.54331242518686,4.380157,0.0000126987,89.9999,89.9999,0.127941,0.0000004507238
0.12,S,0.12,0.010,0,0.4730549,0,534.6576,124.1897,0.007768147,0,110.1634,132.7539,3.765081,106.338459558232,106.338459557957,0.000241749840833419,9.13425403742792,5.443542,0.0000151162,89.9999,89.9999,0.1770595,0.0000005897983
0.13,S,0.13,0.010,0,0.4730549,0,579.1509,124.1707,0.008879948,0,110.162,132.7539,3.765311,117.888142206283,117.888142205992,0.000261907837529972,9.8822554170296,6.622423,0.00001773528,89.9999,89.9999,0.2373893,0.0000007540557
0.14,S,0.14,0.010,0,0.4730547,0,623.6441,124.1499,0.01039383,0,110.1607,132.7539,3.765541,129.443416071372,129.443416071065,0.000282075596812118,10.7925507585375,7.916857,0.00002055604,89.9999,89.9999,0.3100857,0.0000009455123
0.15,S,0.15,0.010,0,0.4730547,0,668.1374,124.1276,0.01239683,0,110.1593,132.7539,3.765772,141.004740484998,141.004740484674,0.000302253913426192,11.8656525182203,9.326904,0.00002357858,89.9999,89.9999,0.3963045,0.000001166185
0.16,S,0.16,0.01047766,0,0.4744909,0,712.6307,124.1035,0.01503008,0,110.1579,132.7539,3.766002,152.572552485031,152.57255248469,0.00032244355361649,13.0989387614953,10.85263,0.00002680301,89.9999,89.9999,0.4972022,0.000001418093
