Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,124.29,0,0,110.18,130.746,3.427672,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.4698357,0,45.32666,124.29,0,0,110.179,130.746,3.427838,0,0,0,22.0049991607666,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.01969089,0,0.4672578,0,89.81968,124.2892,0.05222319,0,110.178,130.746,3.428004,0,0,0,22.0049991607666,0,0,89.9999,89.9999,0,0
0.03,S,0.03,0.01969089,0,0.4672578,0,134.3127,124.2867,0.05222319,0,110.177,130.746,3.42817,2.58190213440681,2.58190213369422,0.0000606604888863235,22.0050149144192,0.02581902,0.0000006066049,89.9999,89.9999,0.0001290951,0.000000003033024
0.04,S,0.04,0.01969091,0,0.4672578,0,178.8057,124.2825,0.05222327,0,110.176,130.746,3.428336,14.1013235169416,14.1013235167103,0.0000807656746612328,22.0056329907443,0.1668323,0.000001414262,89.9999,89.9999,0.001092352,0.00000001313736
0.05,S,0.05,0.01969146,0,0.4672569,0,223.2987,124.2767,0.0522261,0,110.175,130.746,3.428502,25.6222705169343,25.6222705167357,0.000100873516791003,22.0090679092611,0.423055,0.000002422997,89.9999,89.9999,0.004041788,0.00000003232365
0.05999999,S,0.05999999,0.01969454,0,0.4672522,0,267.7917,124.2693,0.05224185,0,110.174,130.746,3.428668,37.1452224179682,37.1452224177712,0.000120984862219319,22.0193412625754,0.7945072,0.000003632846,89.9999,89.9999,0.0101296,0.00000006260287
0.06999999,S,0.06999999,0.01970373,0,0.4672379,0,312.2848,124.2602,0.05228904,0,110.173,130.746,3.428834,48.6706438708812,48.6706438706767,0.000141100518430387,22.0422711933013,1.281214,0.000005043851,89.9999,89.9999,0.0205082,0.0000001059863
0.07999999,S,0.07999999,0.01972425,0,0.4672062,0,356.7778,124.2494,0.05239442,0,110.172,130.746,3.429,60.1989463515889,60.198946351373,0.000161221200118507,22.0854417729036,1.883204,0.000006656063,89.9999,89.9999,0.03633029,0.0000001644859
0.08999999,S,0.08999999,0.01976288,0,0.4671463,0,401.2708,124.237,0.05259312,0,110.171,130.746,3.429166,71.7306324690782,71.730632468849,0.000181347787968212,22.1581364981346,2.60051,0.00000846954,89.9999,89.9999,0.05874886,0.0000002401139
0.09999999,S,0.09999999,0.01982793,0,0.4670453,0,445.7639,124.2229,0.05292841,0,110.17,130.746,3.429332,83.2661368720276,83.2661368717839,0.00020148104060344,22.2712171332625,3.433171,0.00001048435,89.9999,89.9999,0.08891727,0.0000003348834
0.11,S,0.11,0.01992912,0,0.4668876,0,490.257,124.2071,0.05345192,0,110.169,130.746,3.429498,94.8059192571714,94.8059192569123,0.00022162176032778,22.4369276713736,4.38123,0.00001270057,89.9999,89.9999,0.1279893,0.000000450808
0.12,S,0.12,0.02007741,0,0.4666554,0,534.7502,124.1897,0.05422328,0,110.1681,130.746,3.429664,106.350411867292,106.350411867017,0.000241770701547433,22.6686078476781,5.444734,0.00001511828,89.9999,89.9999,0.1771191,0.0000005899022
0.13,S,0.13,0.02028473,0,0.4663287,0,579.2433,124.1707,0.05531004,0,110.1671,130.746,3.42983,117.900071209688,117.900071209397,0.000261928657567945,22.9803094147754,6.623734,0.00001773757,89.9999,89.9999,0.2374614,0.0000007541815
0.14,S,0.14,0.02056365,0,0.4658855,0,623.7366,124.1499,0.05678745,0,110.1661,130.746,3.429996,129.455372336878,129.455372336571,0.000282096464431432,23.3863245871929,7.918288,0.00002055853,89.9999,89.9999,0.3101715,0.000000945662
0.15,S,0.15,0.02092698,0,0.4653029,0,668.2299,124.1276,0.05873816,0,110.1651,130.746,3.430162,141.016712457574,141.01671245725,0.000302274808459513,23.9006505887399,9.328455,0.00002358128,89.9999,89.9999,0.3964052,0.000001166361
0.16,S,0.16,0.02138722,0,0.4645573,0,712.7232,124.1035,0.06125174,0,110.1641,130.746,3.430328,152.584541976424,152.584541976083,0.000322464479225914,24.5364422091819,10.8543,0.00002680592,89.9999,89.9999,0.497319,0.000001418297
0.17,S,0.17,0.02195616,0,0.4636263,0,757.2166,124.0778,0.06442431,0,110.1631,130.746,3.430494,164.159320966422,164.159320966064,0.000342666276256966,25.3055050432545,12.49589,0.00003023258,89.9999,89.9999,0.6140699,0.000001703489
0.18,S,0.18,0.02264436,0,0.4624898,0,757.0698,124.0505,0.06835802,0,110.1621,130.746,3.43066,164.163509591966,164.163509591608,0.000342673588115601,26.1551322145979,14.13752,0.00003365931,89.9999,89.9999,0.747237,0.000002022949
0.19,S,0.19,0.02340465,0,0.4612257,0,756.9229,124.0223,0.07282545,0,110.1611,130.746,3.430826,164.168870261882,164.168870261524,0.000342682944171073,27.07776003387,15.77921,0.00003708614,89.9999,89.9999,0.8968206,0.000002376676
0.2,S,0.2,0.02423027,0,0.459848,0,756.7761,123.9941,0.07782049,0,110.1601,130.746,3.430992,164.174072191631,164.174072191273,0.000342692023135085,28.0661944329679,17.42095,0.00004051306,89.9999,89.9999,1.062821,0.000002764672
0.21,S,0.21,0.02511477,0,0.4583714,0,756.6295,123.966,0.08333685,0,110.1591,130.746,3.431158,164.179204545414,164.179204545056,0.00034270098066608,29.1137420847476,19.06274,0.00004394007,89.9999,89.9999,1.24524,0.000003186938
0.22,S,0.22,0.02605218,0,0.4568108,0,756.4828,123.9378,0.08936819,0,110.1581,130.746,3.431324,164.184177558288,164.18417755793,0.000342709660075884,30.2142632819774,20.70458,0.00004736716,89.9999,89.9999,1.444076,0.000003643474
0.23,S,0.23,0.02703699,0,0.4551809,0,756.3361,123.9097,0.09590834,0,110.1571,130.746,3.43149,164.189008571454,164.189008571096,0.00034271809163059,31.3621897352155,22.34647,0.00005079434,89.9999,89.9999,1.659332,0.000004134281
0.24,S,0.24,0.02806422,0,0.4534953,0,756.1896,123.8815,0.1029512,0,110.1561,130.746,3.431656,164.193746620981,164.193746620623,0.000342726360914267,32.5525143220753,23.98841,0.0000542216,89.9999,89.9999,1.891006,0.000004659361
0.25,S,0.25,0.0291294,0,0.4517668,0,756.0432,123.8534,0.1104909,0,110.1551,130.746,3.431822,164.198357756207,164.198357755849,0.000342734408690632,33.7807551240424,25.63039,0.00005764894,89.9999,89.9999,2.1391,0.000005218714
0.26,S,0.26,0.0302285,0,0.4500067,0,755.8967,123.8252,0.1185218,0,110.1541,130.746,3.431988,164.202847076742,164.202847076384,0.000342742243841367,35.0429389277779,27.27242,0.00006107636,89.9999,89.9999,2.403614,0.000005812341
0.27,S,0.27,0.03135799,0,0.4482252,0,755.7503,123.7971,0.1270384,0,110.1531,130.746,3.432154,164.20721218773,164.207212187372,0.000342749862205466,36.3355275019418,28.91449,0.00006450386,89.9999,89.9999,2.684549,0.000006440242
0.28,S,0.28,0.03251469,0,0.4464313,0,755.604,123.769,0.1360355,0,110.1521,130.746,3.43232,164.211461804018,164.21146180366,0.000342757278955561,37.6553951153376,30.5566,0.00006793143,89.9999,89.9999,2.981904,0.000007102418
0.29,S,0.29,0.0336958,0,0.4446324,0,755.4577,123.7408,0.145508,0,110.1511,130.746,3.432486,164.215599913127,164.215599912769,0.000342764504569902,38.9997855650635,32.19876,0.00007135908,89.9999,89.9999,3.295681,0.000007798871
0.3,S,0.3,0.03489886,0,0.4428352,0,755.3115,123.7127,0.1554514,0,110.1501,130.746,3.432652,164.219639006963,164.219639006605,0.000342771553889598,40.3662464586395,33.84096,0.0000747868,89.9999,89.9999,3.625879,0.0000085296
0.31,S,0.31,0.03612167,0,0.4410451,0,755.1653,123.6846,0.1658609,0,110.1491,130.746,3.432818,164.223534348071,164.223534347713,0.000342778352275688,41.7526156370509,35.4832,0.00007821459,89.9999,89.9999,3.9725,0.000009294607
0.32,S,0.32,0.03736231,0,0.4392666,0,755.0193,123.6565,0.1767324,0,110.1481,130.746,3.432984,164.227343009916,164.227343009558,0.000342784999377807,43.1569705131941,37.12547,0.00008164244,89.9999,89.9999,4.335544,0.00001009389
0.33,S,0.33,0.03861905,0,0.4375036,0,754.8732,123.6284,0.1880616,0,110.1471,130.746,3.43315,164.231022126986,164.231022126628,0.000342791420362682,44.5776232895754,38.76778,0.00008507036,89.9999,89.9999,4.71501,0.00001092746
0.3399999,S,0.3399999,0.03989037,0,0.4357589,0,754.7272,123.6003,0.1998446,0,110.1461,130.746,3.433316,164.23458848444,164.234588484082,0.000342797644525932,46.0130686816416,40.41013,0.00008849833,89.9999,89.9999,5.110899,0.0000117953
0.3499999,S,0.3499999,0.04117494,0,0.4340352,0,754.5813,123.5722,0.2120779,0,110.1451,130.746,3.433482,164.238055108275,164.238055107917,0.000342803694621044,47.4619598315667,42.05251,0.00009192637,89.9999,89.9999,5.523212,0.00001269742
0.3599999,S,0.3599999,0.04247155,0,0.4323344,0,754.4354,123.5441,0.2247577,0,110.1441,130.746,3.433648,164.241410755621,164.241410755263,0.000342809551006655,48.9231051593318,43.69492,0.00009535447,89.9999,89.9999,5.95195,0.00001363383
0.3699999,S,0.3699999,0.04377912,0,0.4306579,0,754.2896,123.5161,0.2378807,0,110.1432,130.746,3.433814,164.244640283379,164.244640283021,0.000342815187253059,50.3954417310533,45.33736,0.00009878263,89.9999,89.9999,6.397111,0.00001460451
0.3799999,S,0.3799999,0.04509673,0,0.4290068,0,754.1437,123.488,0.2514436,0,110.1422,130.746,3.43398,164.247760385701,164.247760385343,0.000342820632497034,51.8780286132617,46.97984,0.0001022108,89.9999,89.9999,6.858697,0.00001560948
0.3899999,S,0.3899999,0.0464235,0,0.4273821,0,753.998,123.4599,0.2654434,0,110.1412,130.746,3.434146,164.250799833826,164.250799833468,0.00034282593697272,53.3700061530397,48.62235,0.0001056391,89.9999,89.9999,7.336708,0.00001664873
0.3999999,S,0.3999999,0.04775869,0,0.4257841,0,753.8524,123.4319,0.2798772,0,110.1402,130.746,3.434312,164.253741484039,164.253741483681,0.000342831074229614,54.870601869741,50.26488,0.0001090674,89.9999,89.9999,7.831144,0.00001772226
0.4099999,S,0.4099999,0.04910159,0,0.4242133,0,753.7068,123.4038,0.2947419,0,110.1392,130.746,3.434478,164.256549730774,164.256549730416,0.000342835975145468,56.3791477810764,51.90745,0.0001124958,89.9999,89.9999,8.342006,0.00001883008
0.4199999,S,0.4199999,0.05045162,0,0.4226698,0,753.5612,123.3758,0.310035,0,110.1382,130.746,3.434644,164.259263418971,164.259263418613,0.000342840711025362,57.8950165809218,53.55005,0.0001159242,89.9999,89.9999,8.869293,0.00001997218
