Flight_Time_(s),Temperature_(F),Baro_Press_(atm),Velocity_Up,Velocity_DR,Velocity_CR,Tilt_Angle_(deg),Baro_Altitude_ASL_(feet)
0,68,0.9538,52,-1,1,0,1301.9
0.02,68,0.9538,63,-1,2,3.1,1301.9
0.04,68,0.9542,74,-1,2,3.1,1292.1
0.06,68,0.9542,85,-1,3,3.1,1292.1
0.08,68,0.9541,96,-1,3,3.1,1294.4
0.1,68,0.9541,107,-1,3,2.9,1294.4
0.12,68,0.9537,118,-2,4,2.9,1305.9
0.14,68,0.9537,129,-1,4,2.8,1305.3
0.16,68,0.9534,141,-1,5,2.8,1314
0.18,68,0.9534,152,-2,5,2.8,1314.6
0.2,68,0.9532,163,-1,6,2.9,1320.3
0.22,68,0.9532,174,-1,6,2.9,1320.3
0.24,68,0.953,186,-1,7,3,1325.5
0.26,68,0.953,197,-1,8,3.2,1325.5
0.28,68,0.9528,209,-1,8,3.3,1331.2
0.3,68,0.9528,220,-1,9,3.5,1331.2
0.32,68,0.9527,231,-1,10,3.7,1335.3
0.34,68,0.9527,243,-1,11,4,1335.3
0.36,68,0.9525,254,-2,12,4.2,1340.4
0.38,68,0.9525,266,-2,13,4.5,1341
0.4,68,0.9523,278,-2,14,4.9,1346.8
0.42,68,0.9523,289,-2,15,5.2,1346.2
0.44,68,0.9518,301,-2,16,5.5,1360
0.46,68,0.9518,312,-3,17,5.9,1360.6
0.48,68,0.9513,324,-3,19,6.3,1376.2
0.5,68,0.9513,336,-4,20,6.6,1376.2
0.52,68,0.9511,347,-4,22,7,1380.2
0.54,68,0.9511,359,-5,24,7.4,1380.2
0.56,68,0.9508,371,-6,25,7.7,1390
0.58,68,0.9508,383,-7,27,8.1,1390
0.6,68,0.9503,395,-8,29,8.4,1403.8
0.62,68,0.9503,407,-9,31,8.7,1403.3
0.64,68,0.9501,419,-10,33,8.9,1410.8
0.66,68,0.9501,431,-12,35,9.2,1410.8
0.68,68,0.9496,443,-13,36,9.4,1424.6
0.7,68,0.9496,455,-15,38,9.5,1425.2
0.72,68,0.9491,467,-17,40,9.6,1439.6
0.74,68,0.9491,479,-19,42,9.6,1439
0.76,68,0.9489,491,-21,43,9.6,1443.7
0.78,68,0.9489,503,-23,45,9.5,1443.7
0.8,68,0.9484,515,-25,46,9.3,1458.7
0.82,68,0.9484,528,-27,47,9,1459.2
0.84,68,0.9476,540,-28,49,8.7,1481.8
0.86,68,0.9476,553,-30,50,8.3,1481.2
0.88,68,0.9469,565,-32,51,7.9,1500.9
0.9,68,0.9469,578,-33,52,7.5,1500.9
0.92,68,0.9464,591,-35,53,7.1,1516.5
0.94,68,0.9464,603,-36,55,6.8,1517.1
0.96,68,0.9457,616,-37,56,6.5,1537.9
0.98,68,0.9457,629,-38,57,6.2,1537.9
1,68,0.9451,643,-39,58,6,1553.5
1.02,68,0.9451,656,-40,59,5.9,1553.5
1.04,68,0.9445,669,-41,61,5.9,1572.1
1.06,68,0.9445,682,-42,62,5.9,1572.1
1.08,68,0.944,696,-43,63,5.9,1587.2
1.1,68,0.944,709,-44,64,6,1587.2
1.12,68,0.9432,722,-46,66,6.1,1609.8
1.14,68,0.9432,736,-47,67,6.2,1609.8
1.16,68,0.9424,749,-48,68,6.3,1632.4
1.18,68,0.9424,763,-50,70,6.4,1632.4
1.2,68,0.9418,777,-52,71,6.4,1651
1.22,68,0.9418,790,-54,72,6.4,1651
1.24,68,0.9408,804,-55,73,6.3,1678.9
1.26,68,0.9408,817,-57,74,6.2,1678.9
1.28,68,0.9399,831,-59,75,6,1704.5
1.3,68,0.9399,845,-61,75,5.8,1705.1
1.32,68,0.9391,859,-62,76,5.6,1727.8
1.34,68,0.9391,872,-63,77,5.5,1727.8
1.36,68,0.9383,886,-65,77,5.4,1752.8
1.38,68,0.9382,900,-65,78,5.5,1753.4
1.4,68,0.9368,914,-66,79,5.7,1796
1.42,68,0.9368,928,-67,80,6.1,1796
1.44,68,0.9351,941,-67,81,6.6,1844.5
1.46,68,0.9351,955,-68,82,7.2,1844.5
1.48,68,0.9335,969,-69,84,7.8,1893
1.5,68,0.9335,983,-69,86,8.4,1893
1.52,68,0.9325,996,-70,88,9,1921.7
1.54,68,0.9325,1010,-71,90,9.5,1921.7
1.56,68,0.9313,1023,-73,92,9.8,1955.7
1.58,68,0.9313,1036,-74,94,10.1,1955.7
1.6,68,0.9303,1049,-75,96,10.1,1984.4
1.62,68,0.9303,1062,-77,99,10.1,1984.4
1.64,68,0.9293,1075,-78,101,10,2014.3
1.66,67.9,0.9293,1088,-80,102,10,2014.9
1.68,67.9,0.9282,1101,-81,104,10,2046.1
1.7,67.9,0.9282,1114,-82,106,9.9,2046.1
1.72,67.9,0.9273,1127,-84,108,10,2073.7
1.74,67.9,0.9273,1139,-85,110,10.3,2073.7
1.76,67.9,0.9249,1151,-87,111,10.5,2143.8
1.78,67.9,0.9249,1163,-88,113,10.6,2143.8
1.8,67.9,0.9246,1176,-90,115,10.6,2152.6
1.82,67.9,0.9246,1188,-92,117,10.7,2152.6
1.84,67.9,0.9177,1200,-94,119,10.7,2356.7
1.86,67.9,0.9177,1212,-95,121,10.7,2357.3
1.88,67.9,0.9178,1224,-97,123,10.7,2354.3
1.9,67.9,0.9178,1237,-98,125,10.6,2354.3
1.92,67.9,0.9185,1249,-100,127,10.7,2334.2
1.94,67.9,0.9185,1261,-102,129,10.7,2334.8
1.96,67.9,0.9168,1273,-104,131,10.8,2384
1.98,67.9,0.9168,1285,-106,133,10.7,2384
2,67.9,0.9143,1297,-108,134,10.7,2457.7
2.02,67.9,0.9143,1309,-110,136,10.6,2457.7
2.04,67.9,0.9128,1320,-112,138,10.6,2504.2
2.06,67.9,0.9127,1330,-114,139,10.5,2504.7
2.08,67.9,0.9117,1339,-116,141,10.4,2536.3
2.1,67.9,0.9117,1348,-117,142,10.4,2536.3
2.12,67.9,0.9106,1356,-119,143,10.3,2568.6
2.14,67.9,0.9106,1363,-121,144,10.4,2568.6
2.16,67.9,0.9082,1370,-122,145,10.4,2641.5
2.18,67.9,0.9082,1376,-124,146,10.6,2641.5
