Flight_Time_(s),Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z
0,4.9,-6.2,-5.6,-1.82,18.07,-0.32
0.002,7.2,-13.5,-1.4,-1.29,17.91,-0.07
0.004,4.9,-15.8,-2.8,-1.23,17.99,0.56
0.006,4.9,-9.3,0.8,-1.63,17.66,-0.26
0.008,6.9,-11.6,1.8,-1.17,18.17,0.16
0.01,4.6,-9.7,-0.8,-1.32,18.47,-0.19
0.012,0.8,-3.1,-8,-2.42,17.83,0.8
0.014,10,22.7,6.3,-1.31,17.84,-0.74
0.016,5.2,23.4,11,0.1,18.25,-0.71
0.018,0.6,27.8,-5.7,0.42,18.95,2.19
0.02,0.9,37.9,-20.5,-2.96,16.84,-1.44
0.022,5.8,37.5,-3.7,-0.87,17.67,0.48
0.024,8.6,11.8,7.5,-0.44,18.55,-0.61
0.026,3.2,8.4,-4,0.09,18.77,1.53
0.028,1.4,25.3,-3.3,-1.57,18.18,0.89
0.03,3.8,37.2,-1.7,-0.94,17.91,0.54
0.032,4.5,48,1.3,-1.15,18.03,-0.16
0.034,3.4,44,0.8,-0.77,18.11,-0.91
0.036,1.9,28,-4.8,-1.39,18.14,-1.36
0.038,-1.3,16.3,-6,-1.49,18.07,-0.32
0.04,2.2,20,0.4,-2.71,16.81,0.08
0.042,-42.3,56.7,30.8,-2.89,15.17,0.95
0.044,14.4,66,2.9,-1.01,19.64,-2.34
0.046,16.1,21.6,-8.3,-1.63,17.05,-1.03
0.048,-6.1,22.7,2.7,-2.22,17,-1.59
0.05,-0.2,18.2,28.8,1.07,18.99,1.09
0.052,6.7,18.8,8.7,-0.21,19.45,0.67
0.054,1.4,25.4,-4.4,-0.15,18.07,1.43
0.056,-12.9,39.9,-4.3,-1.2,17.32,-0.54
0.058,-5.8,58.1,-5.8,-1.42,17.97,1.25
0.06,-12.4,67.4,-6,-1.02,17.5,1.14
0.062,-0.4,68.1,5.4,-0.91,17.56,-1.9
0.064,6.2,47.4,5.5,0.19,17.98,1.02
0.066,-3.6,49.9,5.4,0.38,18.09,1.64
0.068,-5.3,62.8,3.9,-0.49,18.1,-4
0.07,-13.9,54.2,-2.6,-0.23,19.38,2.6
