Flight Time Rounded (s),Thrust (lb),Accel (ft/sec^2),Weight (lb)
0,0,0,46.5
0.01,1058.739,700.4025684,46.5
0.02,903.2264,593.2253651,46.46693
0.03,891.4601,585.6737059,46.42134
0.04,879.694,578.0505345,46.37965
0.05,871.4578,572.8522106,46.3385
0.06,871.4582,573.356651,46.29788
0.07,871.4586,573.8552239,46.25739
0.08,871.4592,574.3496112,46.21691
0.09,871.4597,574.8397543,46.17642
0.1,871.4604,575.3258492,46.13594
0.11,871.4611,575.8077678,46.09545
0.12,871.4619,576.2856626,46.05496
0.13,871.4628,576.7594293,46.01448
0.14,871.4638,577.2290282,45.97399
0.15,871.4648,577.694553,45.93351
0.16,871.4659,578.1559036,45.89302
0.17,871.4672,578.6132143,45.85254
0.18,871.4684,579.066345,45.81205
0.19,871.4697,579.5153254,45.77156
0.2,871.4712,579.9602449,45.73108
0.21,871.4727,580.4009104,45.69059
0.22,871.4742,580.8374962,45.65011
0.23,871.4759,581.2699023,45.60962
0.24,871.4776,581.698066,45.56914
0.25,871.4794,582.1221203,45.52865
0.26,871.4813,582.543038,45.48817
0.27,871.4833,582.6438705,45.44768
0.28,871.4854,583.0635351,45.4072
0.29,871.4875,583.4798503,45.36671
0.3,871.4897,583.8932644,45.32623
0.31,871.492,584.3035426,45.28574
0.32,871.4944,584.7107568,45.24525
0.33,871.4968,585.1150934,45.20477
0.34,871.4994,585.5165535,45.16428
0.35,871.502,585.9152505,45.1238
0.36,871.5047,586.3112129,45.08331
0.37,871.5074,586.7042905,45.04283
0.38,871.5103,587.0947436,45.00234
0.39,871.5132,587.4826564,44.96185
0.4,871.5162,587.8680291,44.92137
0.41,871.5192,588.2507795,44.88088
0.42,871.5224,588.6310425,44.8404
0.43,871.5256,589.00897,44.79991
0.44,871.5289,589.3845288,44.75943
0.45,871.5323,589.7577984,44.71894
0.46,871.5357,590.1287646,44.67846
0.47,871.5392,590.4974279,44.63797
0.48,871.5428,590.8640821,44.59748
0.49,871.5466,591.2270296,44.557
0.5,871.5503,591.5864533,44.51651
0.51,872.1543,592.377901,44.47603
0.52,872.9083,593.2763172,44.43553
0.53,873.6625,594.1739683,44.395
0.54,874.4167,595.0706516,44.35443
0.55,875.171,595.9664107,44.31384
0.56,875.9255,596.8614341,44.2732
0.57,876.6799,597.7556397,44.23252
0.58,877.4907,598.6897628,44.19182
0.59,878.8079,599.9921111,44.15108
0.6,880.1252,601.2945176,44.11028
0.61,881.4426,602.5968399,44.06943
0.62,882.76,603.8993198,44.02851
0.63,884.0776,605.201696,43.98754
0.64,885.3952,606.504079,43.9465
0.65,886.7129,607.8066041,43.9054
0.66,888.0307,609.1091399,43.86424
0.67,889.3485,610.4115511,43.82302
0.68,890.6664,611.7136585,43.78174
0.69,891.9845,613.0154959,43.74039
0.7,893.3026,614.3165851,43.69899
0.71,894.6207,615.6170698,43.65752
0.72,895.9389,616.9166473,43.616
0.73,897.2573,618.2153997,43.57441
0.74,898.5757,619.5129732,43.53276
0.75,899.8942,620.8095049,43.49105
0.76,901.2128,622.104955,43.44928
0.77,902.5314,623.3991055,43.40745
0.78,903.8501,624.6919538,43.36555
0.79,905.1689,625.9835327,43.3236
0.8,906.4878,627.2734992,43.28159
0.81,907.8068,628.5620615,43.23951
0.82,909.1259,629.8490319,43.19737
0.83,910.4449,631.1344837,43.15517
0.84,911.7642,632.4181364,43.11292
0.85,913.0834,633.7002537,43.07059
0.86,914.4028,634.9806655,43.02821
0.87,915.7223,636.2593519,42.98577
0.88,917.0418,637.5363757,42.94327
0.89,918.3614,638.8116412,42.9007
0.9,919.6811,640.085335,42.85808
0.91,921.0009,641.3575213,42.81539
0.92,922.3207,642.6281529,42.77264
0.93,923.6407,643.8974595,42.72984
0.94,924.9608,645.1655665,42.68697
0.95,926.2809,646.4325956,42.64404
0.96,927.601,647.6987181,42.60104
0.97,928.9213,648.9649631,42.55799
0.98,930.2417,650.2314795,42.51488
0.99,931.5621,651.4987081,42.4717
1,932.8826,652.7674984,42.42847
1.01,934.2032,654.038155,42.38517
1.02,935.524,655.311404,42.34181
1.03,936.8447,656.5873367,42.29839
1.04,938.1656,657.8664632,42.25491
1.05,939.4866,659.1490557,42.21136
1.06,940.8076,660.4352601,42.16776
1.07,942.1287,661.7255122,42.12409
1.08,943.4499,663.0230399,42.08036
1.09,944.7712,664.3259134,42.03657
1.1,946.0925,665.6329977,41.99272
1.11,947.414,666.9338251,41.94881
1.12,948.7355,668.2174688,41.90484
1.13,950.0571,669.5046293,41.86081
1.14,951.3788,670.7949452,41.81671
1.15,952.7006,672.0885328,41.77256
1.16,954.0225,673.3854007,41.72834
1.17,955.3444,674.6856538,41.68406
1.18,956.6665,675.9892842,41.63972
1.19,957.9886,677.2963242,41.59533
1.2,959.3109,678.6071073,41.55087
1.21,960.6331,679.9215939,41.50634
1.22,961.9555,681.2403722,41.46176
1.23,963.278,682.5633645,41.41712
1.24,964.4795,683.7969528,41.37241
1.25,964.5909,684.1106273,41.32765
1.26,964.7024,684.3357073,41.28286
1.27,964.814,684.5560359,41.23806
1.28,964.9256,684.7941429,41.19325
1.29,965.0374,685.032201,41.14845
1.3,965.1492,685.2656031,41.10363
1.31,965.261,685.4939021,41.05882
1.32,965.3731,685.7161745,41.01399
1.33,965.4852,685.931609,40.96917
1.34,965.5974,686.1392673,40.92434
1.35,965.7095,686.3385554,40.8795
1.36,965.822,686.5291488,40.83466
1.37,965.9344,686.7107748,40.78981
1.38,966.0469,686.882918,40.74496
1.39,966.1594,687.0454397,40.70011
1.4,966.2722,687.1985737,40.65525
1.41,966.3849,687.341878,40.61039
1.42,966.4978,687.47556,40.56552
1.43,966.6107,687.5996578,40.52065
1.44,966.7237,687.6481009,40.47577
1.45,966.8369,687.6681472,40.43088
1.46,966.9501,687.6777571,40.38599
1.47,967.0633,687.67827,40.3411
1.48,967.1767,687.6705815,40.2962
1.49,967.2901,687.6554399,40.2513
1.5,967.4037,687.633671,40.20639
1.51,967.5173,687.6054809,40.16148
1.52,967.631,687.5715199,40.11657
1.53,967.7448,687.5318495,40.07165
1.54,967.8586,687.4862837,40.02672
1.55,967.9727,687.4348751,39.98179
1.56,968.0867,687.3773188,39.93686
1.57,968.2007,687.3133552,39.89192
1.58,968.3149,687.2428993,39.84697
1.59,968.4293,687.1658004,39.80202
1.6,968.5436,687.0933865,39.75707
1.61,968.6581,686.7279948,39.71211
1.62,968.7726,685.9997505,39.66715
1.63,968.8873,684.8951416,39.62218
1.64,969.002,683.931842,39.57721
1.65,969.1168,683.1456845,39.53223
1.66,969.2317,682.335136,39.48725
1.67,969.3467,681.4990758,39.44226
1.68,969.4617,680.6369933,39.39727
1.69,969.5768,679.7476359,39.35227
1.7,969.6921,678.8297509,39.30727
1.71,969.8073,677.8827214,39.26226
1.72,969.9228,676.9058202,39.21725
1.73,970.0382,675.8990399,39.17224
1.74,970.1537,674.8619857,39.12722
1.75,970.2693,673.7949653,39.08219
1.76,970.3851,672.6983689,39.03716
1.77,970.5009,671.573201,38.99213
1.78,970.6167,670.4201483,38.94709
1.79,970.7327,669.2401234,38.90204
1.8,970.8486,668.033998,38.85699
1.81,970.9445,666.7856581,38.81194
1.82,970.9592,665.4448761,38.76688
1.83,970.9739,664.0795395,38.72182
1.84,970.9888,662.9497094,38.67677
1.85,971.0037,662.6415914,38.63171
1.86,971.0186,662.3312741,38.58665
1.87,971.0337,662.0187217,38.54159
1.88,971.0488,661.7039261,38.49653
1.89,967.9146,658.7513352,38.45147
1.9,960.0532,651.8343689,38.40644
1.91,952.192,644.9061344,38.36171
1.92,942.9456,636.8027467,38.31734
1.93,921.2114,618.1887192,38.27335
1.94,899.4773,599.551493,38.23011
1.95,877.7432,580.8878009,38.18788
1.96,856.0092,562.1985928,38.14667
1.97,834.2752,543.4851312,38.10646
1.98,812.5413,524.7485966,38.06728
1.99,790.8075,505.9897777,38.0291
2,769.0737,487.2095341,37.99194
2.01,751.9408,472.3089103,37.95578
2.02,734.8088,457.3915274,37.92054
2.03,717.677,442.4925799,37.88609
2.04,700.5452,427.586993,37.85245
2.05,683.4133,412.6692288,37.8196
2.06,666.2816,397.7409751,37.78755
2.07,654.1209,387.0403012,37.75629
2.08,645.2761,379.1608621,37.72577
2.09,636.4313,371.2788681,37.69569
2.1,627.5866,363.3956447,37.66603
2.11,618.742,355.5118381,37.63677
2.12,609.8973,347.6277639,37.60793
2.13,601.0527,339.7440642,37.57951
2.14,592.2082,332.0166426,37.55149
2.15,583.3636,324.2306645,37.52389
2.16,581.6068,322.5276809,37.4967
2.17,581.6235,322.3474357,37.46979
2.18,581.6402,322.169304,37.44289
2.19,581.657,321.993151,37.41599
2.2,581.6738,321.8183459,37.38908
2.21,581.6907,321.6438457,37.36218
2.22,581.7075,321.4693755,37.33528
2.23,581.7244,321.2936744,37.30838
2.24,581.7414,321.1159858,37.28148
2.25,576.1243,316.0708551,37.25458
2.26,569.0972,309.8041073,37.22778
2.27,562.0702,303.5328358,37.20131
2.28,555.0432,297.2568371,37.17516
2.29,541.2609,285.1275264,37.14935
2.3,524.5812,270.4848627,37.12397
2.31,507.9016,255.8391159,37.09934
2.32,491.222,241.1914567,37.0755
2.33,474.5424,226.5437728,37.05243
2.34,457.8629,211.8976467,37.03014
2.35,438.4663,194.8927577,37.00863
2.36,412.7251,172.3755444,36.98791
2.37,386.9839,149.8673493,36.96829
2.38,361.2427,127.3705487,36.94987
2.39,339.1721,108.0857448,36.93265
2.4,319.5505,90.95098507,36.91658
2.41,299.9288,73.83739,36.90145
2.42,280.3072,56.7551385,36.88723
2.43,260.6855,39.7281952,36.87392
2.44,245.7105,26.83945123,36.86153
2.45,233.8357,16.8232237,36.84999
2.46,221.9608,7.671166928,36.83903
2.47,210.086,-6.857429002,36.82862
2.48,198.2111,-15.70879938,36.81877
2.49,190.1149,-22.42041932,36.80947
