alpha	mach	xCP	clCoast	cdCoast	clBoost	cdBoost	
0.000000	0.010000	96.488000	0.000000	0.709000	0.000000	0.708000	
0.000000	0.020000	96.488000	0.000000	0.626000	0.000000	0.624000	
0.000000	0.030000	96.488000	0.000000	0.584000	0.000000	0.582000	
0.000000	0.040000	96.488000	0.000000	0.557000	0.000000	0.555000	
0.000000	0.050000	96.488000	0.000000	0.537000	0.000000	0.536000	
0.000000	0.060000	96.488000	0.000000	0.522000	0.000000	0.521000	
0.000000	0.070000	96.488000	0.000000	0.510000	0.000000	0.508000	
0.000000	0.080000	96.488000	0.000000	0.500000	0.000000	0.498000	
0.000000	0.090000	96.488000	0.000000	0.491000	0.000000	0.489000	
0.000000	0.100000	96.488000	0.000000	0.483000	0.000000	0.482000	
0.000000	0.110000	96.488000	0.000000	0.477000	0.000000	0.475000	
0.000000	0.120000	96.488000	0.000000	0.471000	0.000000	0.469000	
0.000000	0.130000	96.488000	0.000000	0.465000	0.000000	0.464000	
0.000000	0.120000	96.488000	0.000000	0.471000	0.000000	0.469000	
0.000000	0.130000	96.488000	0.000000	0.465000	0.000000	0.464000	
0.000000	0.140000	96.488000	0.000000	0.461000	0.000000	0.459000	
0.000000	0.150000	96.488000	0.000000	0.456000	0.000000	0.455000	
0.000000	0.160000	96.488000	0.000000	0.452000	0.000000	0.451000	
0.000000	0.170000	96.488000	0.000000	0.448000	0.000000	0.447000	
0.000000	0.180000	96.488000	0.000000	0.445000	0.000000	0.443000	
0.000000	0.190000	96.488000	0.000000	0.442000	0.000000	0.440000	
0.000000	0.200000	96.488000	0.000000	0.439000	0.000000	0.437000	
0.000000	0.210000	96.488000	0.000000	0.436000	0.000000	0.434000	
0.000000	0.220000	96.488000	0.000000	0.433000	0.000000	0.432000	
0.000000	0.230000	96.488000	0.000000	0.431000	0.000000	0.429000	
0.000000	0.240000	96.488000	0.000000	0.428000	0.000000	0.427000	
0.000000	0.250000	96.488000	0.000000	0.426000	0.000000	0.425000	
0.000000	0.260000	96.488000	0.000000	0.424000	0.000000	0.423000	
0.000000	0.270000	96.488000	0.000000	0.423000	0.000000	0.421000	
0.000000	0.280000	96.488000	0.000000	0.422000	0.000000	0.420000	
0.000000	0.290000	96.488000	0.000000	0.421000	0.000000	0.419000	
0.000000	0.300000	96.488000	0.000000	0.420000	0.000000	0.419000	
0.000000	0.310000	96.488000	0.000000	0.419000	0.000000	0.418000	
0.000000	0.320000	96.488000	0.000000	0.419000	0.000000	0.417000	
0.000000	0.330000	96.488000	0.000000	0.419000	0.000000	0.418000	
0.000000	0.340000	96.488000	0.000000	0.420000	0.000000	0.418000	
0.000000	0.350000	96.488000	0.000000	0.420000	0.000000	0.418000	
0.000000	0.360000	96.488000	0.000000	0.420000	0.000000	0.419000	
0.000000	0.370000	96.488000	0.000000	0.421000	0.000000	0.419000	
0.000000	0.380000	96.488000	0.000000	0.421000	0.000000	0.420000	
0.000000	0.390000	96.488000	0.000000	0.421000	0.000000	0.420000	
0.000000	0.400000	96.488000	0.000000	0.422000	0.000000	0.420000	
0.000000	0.410000	96.488000	0.000000	0.422000	0.000000	0.421000	
0.000000	0.420000	96.488000	0.000000	0.423000	0.000000	0.421000	
0.000000	0.430000	96.488000	0.000000	0.423000	0.000000	0.422000	
0.000000	0.440000	96.488000	0.000000	0.424000	0.000000	0.422000	
0.000000	0.450000	96.488000	0.000000	0.424000	0.000000	0.423000	
0.000000	0.460000	96.488000	0.000000	0.425000	0.000000	0.423000	
0.000000	0.470000	96.488000	0.000000	0.425000	0.000000	0.424000	
0.000000	0.480000	96.488000	0.000000	0.426000	0.000000	0.424000	
0.000000	0.490000	96.488000	0.000000	0.426000	0.000000	0.425000	
0.000000	0.500000	96.488000	0.000000	0.427000	0.000000	0.425000	
0.000000	0.510000	96.488000	0.000000	0.427000	0.000000	0.426000	
