HTPB		400 PSI
OF	cstar	
1000	3665.728	
500	3694.264	
100	3907.464	
50	4141.656	
33.33333333	4344.36	
25	4518.2	
20	4664.488	
16.66666667	4786.176	
14.28571429	4887.2	
12.5	4972.48	
11.11111111	5045.624	
10	5108.928	
9.090909091	5163.376	
8.333333333	5210.28	
7.692307692	5249.312	
7.142857143	5280.472	
6.666666667	5302.448	
6.25	5313.928	
5.882352941	5314.912	
5.555555556	5305.4	
5.263157895	5287.36	
5	5262.104	
4.761904762	5232.584	
4.545454545	5199.456	
4.347826087	5163.376	
4.166666667	5125.656	
4	5085.64	
3.03030303	4760.92	
2	4430.296	
1	3898.28	
0.1	2982.504	
0.01	2788.984	
